,date,source,name,sentiment_compound_score,sentiment_pos_score,sentiment_neu_score,sentiment_neg_score
0,2018-01-01,newsmax,clinton,0.41455000000000003,0.187,0.7364999999999999,0.0765
1,2018-01-02,newsmax,clinton,0.04960714285714286,0.10642857142857143,0.7924285714285715,0.10128571428571428
2,2018-01-02,politico,clinton,-0.08462142857142856,0.07314285714285713,0.8492142857142858,0.07771428571428572
3,2018-01-03,newsmax,clinton,0.1601,0.15472727272727274,0.7327272727272729,0.11254545454545452
4,2018-01-03,politico,clinton,-0.11695517241379311,0.05796551724137933,0.8657586206896551,0.07634482758620689
5,2018-01-04,newsmax,clinton,0.032,0.046,0.9175,0.0365
6,2018-01-04,politico,clinton,0.018678571428571406,0.0642857142857143,0.8853571428571427,0.05035714285714286
7,2018-01-05,newsmax,clinton,0.33293333333333336,0.12666666666666668,0.8733333333333334,0.0
8,2018-01-05,politico,clinton,-0.42585,0.04783333333333334,0.8611666666666666,0.09125
9,2018-01-06,newsmax,clinton,0.058885714285714284,0.08714285714285716,0.844,0.06942857142857142
10,2018-01-06,politico,clinton,-0.22219999999999998,0.042,0.8836666666666666,0.07466666666666666
11,2018-01-07,newsmax,clinton,-0.03949999999999999,0.1072,0.766,0.1268
12,2018-01-07,politico,clinton,-0.13154444444444444,0.0705925925925926,0.8562962962962962,0.07307407407407408
13,2018-01-08,newsmax,clinton,-0.049729999999999996,0.0516,0.8896999999999998,0.058699999999999995
14,2018-01-08,politico,clinton,-0.08811739130434783,0.05939130434782608,0.8786956521739128,0.061999999999999986
15,2018-01-09,newsmax,clinton,-0.09709374999999999,0.044875,0.8832500000000002,0.072
16,2018-01-09,politico,clinton,-0.001200000000000001,0.049049999999999996,0.8962,0.0546
17,2018-01-10,newsmax,clinton,0.298125,0.056625,0.93625,0.007125
18,2018-01-10,politico,clinton,0.11269444444444446,0.059000000000000004,0.8953888888888889,0.04561111111111112
19,2018-01-11,newsmax,clinton,0.046887500000000006,0.07625,0.8310000000000001,0.09275000000000001
20,2018-01-11,politico,clinton,0.1230968253968254,0.07073809523809524,0.8601587301587303,0.06919841269841268
21,2018-01-12,newsmax,clinton,-0.24723684210526314,0.024368421052631584,0.8957894736842105,0.0798421052631579
22,2018-01-12,politico,clinton,-0.03083333333333334,0.04266666666666666,0.91475,0.04275000000000002
23,2018-01-13,politico,clinton,-0.4215,0.0,0.8110000000000002,0.18900000000000003
24,2018-01-14,newsmax,clinton,0.6369,0.11,0.89,0.0
25,2018-01-15,newsmax,clinton,-0.15652,0.0114,0.9274000000000001,0.0612
26,2018-01-15,politico,clinton,-0.23586666666666664,0.02766666666666667,0.8723333333333334,0.1
27,2018-01-16,newsmax,clinton,-0.3950333333333334,0.033999999999999996,0.855,0.11066666666666669
28,2018-01-16,politico,clinton,-0.2761555555555556,0.08066666666666668,0.7992222222222222,0.11988888888888893
29,2018-01-17,newsmax,clinton,-0.159,0.0,0.9637500000000001,0.03625
30,2018-01-17,politico,clinton,0.11342666666666673,0.088,0.874866666666666,0.037133333333333324
31,2018-01-18,politico,clinton,0.13321428571428579,0.05900000000000001,0.900428571428571,0.04057142857142857
32,2018-01-19,newsmax,clinton,-0.09866666666666667,0.03,0.923,0.04699999999999999
33,2018-01-19,politico,clinton,-0.11247777777777777,0.053333333333333344,0.8701666666666665,0.07650000000000001
34,2018-01-20,politico,clinton,0.0,0.0,1.0,0.0
35,2018-01-21,politico,clinton,-0.3846999999999998,0.033125,0.8661250000000003,0.10075000000000003
36,2018-01-22,newsmax,clinton,0.3178,0.07133333333333333,0.9286666666666666,0.0
37,2018-01-22,politico,clinton,0.0841,0.0315,0.9455,0.023
38,2018-01-23,newsmax,clinton,-0.15317272727272727,0.04409090909090909,0.8605909090909093,0.09540909090909092
39,2018-01-23,politico,clinton,0.2138463414634143,0.07165853658536586,0.9010487804878053,0.027365853658536582
40,2018-01-24,newsmax,clinton,0.014506666666666668,0.031933333333333334,0.9355999999999999,0.032400000000000005
41,2018-01-24,politico,clinton,-0.1824538461538461,0.024538461538461523,0.9130000000000001,0.06246153846153846
42,2018-01-25,newsmax,clinton,0.06513333333333332,0.06853333333333333,0.8897333333333335,0.04173333333333333
43,2018-01-25,politico,clinton,0.05556296296296301,0.06355555555555559,0.8858888888888884,0.050481481481481516
44,2018-01-26,newsmax,clinton,0.15036799999999997,0.11400000000000002,0.8159199999999999,0.07024
45,2018-01-26,politico,clinton,0.07249,0.061000000000000006,0.8956000000000001,0.04339999999999998
46,2018-01-27,newsmax,clinton,-0.12726666666666667,0.0,0.9580000000000001,0.042
47,2018-01-27,politico,clinton,0.128,0.035,0.938,0.027000000000000003
48,2018-01-28,newsmax,clinton,0.04758571428571428,0.052714285714285714,0.8932857142857143,0.054
49,2018-01-28,politico,clinton,0.27370000000000005,0.11933333333333333,0.8366666666666663,0.04400000000000001
50,2018-01-29,newsmax,clinton,-0.2632969696969697,0.04851515151515151,0.8296060606060605,0.12181818181818181
51,2018-01-29,politico,clinton,0.08349622641509424,0.053735849056603786,0.8928490566037746,0.05341509433962263
52,2018-01-30,newsmax,clinton,0.13070714285714286,0.059678571428571435,0.9033928571428571,0.03696428571428572
53,2018-01-30,politico,clinton,-0.2618214285714285,0.051214285714285705,0.8557857142857141,0.09350000000000001
54,2018-01-31,newsmax,clinton,0.08219999999999998,0.072,0.8881666666666664,0.03983333333333333
55,2018-01-31,politico,clinton,0.08856923076923078,0.0666923076923077,0.8814615384615385,0.05184615384615383
